Issuer Company,Listing Date,Issue Price,Lot Size,Issue Price (Rs Cr),P/E Ratio,QIB,NII,RII,EMP,TOTAL,Open Price,Low Price,High Price,Close Price,% Change
India Finsec Limited,6/11/13,10,10000,6,,,,,,,10,10,10.5,10.5,5
Onesource Techmedia Ltd,6/5/13,14,10000,2.8,,,,,,,13,12.4,13,12.4,-11.43
Just Dial Ltd,6/5/13,530,25,919.14,,10.12,22.34,3.53,,11.63,590,589,631.9,611.45,15.37
Ashapura Intimates Fashion Ltd,4/15/13,40,3000,21,,,,,,,48.05,47,50.45,49.95,24.88
Samruddhi Realty Ltd,4/12/13,12,10000,2.6,,,,,,,13,12.75,13.65,13.65,13.75
Opal Luxury Time Products Ltd,4/12/13,130,1000,13,,,,,,,130,112,135,128,-1.54
GCM Commodity & Derivatives Ltd,4/5/13,20,6000,7.02,,,,,,,65,65,68.25,68.25,241.25
GCM Securities Ltd,4/5/13,20,6000,12.18,,,,,,,65,65,68.25,68.25,241.25
Lakhotia Polyesters (India) Ltd,4/3/13,35,4000,5.08,,,,,,,35.8,35,35.9,35,0
Repco Home Finance Ltd,4/1/13,172,75,270.39,,3.39,0.35,0.51,0.57,1.65,165,158.05,176,160.85,-6.48
Bothra Metals and Alloys Ltd,3/25/13,25,6000,12.21,,,,,,,25.5,24.85,25.55,25,0
HPC Biosciences Ltd,3/19/13,35,4000,15.75,,,,,,,37.25,37.25,39.1,39.1,11.71
Kavita Fabrics Ltd,3/12/13,40,3000,5.1,,,,,,,40.9,40,41,41,2.5
Channel Nine Entertainment Ltd,3/12/13,25,6000,11.67,,,,,,,26.25,26.25,26.25,26.25,5
Sunstar Realty Development Ltd,3/11/13,20,6000,10.62,,,,,,,21.45,21.2,22.5,22.5,12.5
V-Mart Retail Ltd,2/20/13,210,66,94.42,,1.52,1.39,0.79,,1.2,216,205.25,216,205.25,-2.26
Esteem Bio Organic Food Processing Ltd,2/7/13,25,6000,11.25,,,,,,,25.25,25.25,26.5,26.5,6
Eco Friendly Food Processing Park Ltd,1/14/13,25,6000,7.52,,,,,,,24.5,24.15,26,25.55,2.2
Bharti Infratel Limited,12/28/12,220,50,4155.8,,2.84,0.29,0.19,,1.3,200,188.7,200,191.2,-13.09
PC Jeweller Ltd,12/27/12,135,90,609.3,,7.33,18.12,1.68,0.96,6.85,135.5,135.5,154.75,149,10.37
Credit Analysis & Research Ltd,12/26/12,750,20,539.98,,45.8,110.96,6.18,,40.98,949,896.2,986.2,923.95,23.19
Bronze infra-tech Ltd,11/7/12,15,8000,8.56,,,,,,,16.7,16,17.1,16.3,8.67
RCL Retail Limited,10/16/12,10,10000,5.8,,,,,,,10.1,10.1,10.45,10.45,4.5
Anshu's Clothing Limited,10/12/12,27,,5.05,,,,,,,26.85,26.85,28.15,27.15,0.56
Comfort Commotrade Ltd,9/24/12,10,10000,6,,,,,,,10.3,10.1,10.8,10.8,8
Thejo Engineering Ltd,9/18/12,402,300,19,,1,0.91,2.61,,1.53,403,403,403,403,0.25
SRG Housing Finance Ltd,9/11/12,20,6000,7.01,,,,,,,20.3,20.3,20.35,20.3,1.5
Jointeca Education Solutions Ltd,9/4/12,15,8000,5.35,,,,,,,15.2,15,15.25,15,0
Jupiter Infomedia Ltd,8/16/12,20,6000,4.08,,,,,,,22,21.1,22.1,22.05,10.25
Sangam Advisors Ltd,8/9/12,22,6000,5.07,,,,,,,23.05,22,23.05,22.1,0.45
Max Alert Systems Ltd,7/13/12,20,6000,8,,,,,,,51.5,49.25,51.5,49.25,146.25
Monarch Health Services Ltd,5/30/12,40,3000,12,,,,,,,42,40.1,42,40.1,0.25
Speciality Restaurants Ltd,5/30/12,150,40,176.09,,4.68,2.19,0.55,,2.54,153,152.9,160.65,160.65,7.1
Tribhovandas Bhimji Zaveri Ltd,5/9/12,120,45,200,,1.29,1.91,0.68,,1.15,115,110,119.8,111.2,-7.33
National Buildings Construction Corporation Ltd,4/12/12,106,60,127.2,,7.07,1.7,3.4,0.09,4.93,100,95.05,101,97.05,-8.44
MT Educare Limited,4/12/12,80,80,99,,6.01,8,2.17,,4.8,86.05,86.05,90.35,90.35,12.94
Olympic Cards Ltd,3/28/12,30,200,25,,0,3.44,1.36,,0.99,29.95,28.5,30,28.5,-5
BCB Finance Ltd,3/13/12,25,4000,8.85,,,,,,,27,25.7,27,25.7,2.8
Multi Commodity Exchange of India Ltd,3/9/12,1032,6,663.31,,49.12,150.35,24.14,0.18,54.13,1387,1282.1,1426,1297.05,25.68
Veto Switchgears and Cables Ltd,2/13/12,50,3000,25,,1.05,1.47,2.06,,1.56,145,144,148.1,145.45,190.9
Indo Thai Securities Limited,11/2/11,74,80,29.6,,0,0.02,3.35,,1.18,75,18.1,99.1,23,-68.92
M and B Switchgears Ltd,10/20/11,186,30,93,,1.03,1.56,2.35,,1.57,180,118.65,356,317.55,70.73
Flexituff International Ltd,10/19/11,155,40,104.63,,0.51,2.35,1.6,,1.17,155,142,185.4,166.4,7.35
Onelife Capital Advisors Ltd,10/17/11,110,50,36.85,,1.02,0.93,2.5,,1.53,115,114,173,145.9,32.64
Tijaria Polypipes Ltd,10/14/11,60,100,60,,,,,,,62,16.05,67.8,18.1,-69.83
RDB Rasayans Ltd,10/7/11,79,80,35.55,,0,0.75,3.96,,1.5,85,19.8,93.15,26.5,-66.46
Prakash Constrowell Ltd,10/4/11,138,50,60,,0.31,2.76,4.68,,2.21,145,112.5,245,229.5,66.3
PG Electroplast Limited,9/26/11,210,30,120.65,,0.98,1.84,1.64,,1.34,200,175.05,490,411.65,96.02
Vaswani Industries Ltd,9/20/11,49,120,49,,0.16,11.29,6.83,,4.16,33.45,13,35.4,17.75,-63.78
SRS Limited,9/16/11,58,100,203,,0.75,5.11,0.32,,1.25,55,31.8,61.4,33.65,-41.98
TD Power Systems Ltd,9/8/11,256,25,227,,6.52,0.38,0.38,,2.92,251.6,242,308.75,274.8,7.34
Brooks Laboratories Ltd,9/5/11,100,60,63,,0,2.82,3.36,,1.6,110,57.75,131.1,60.2,-39.8
Tree House Education & Accessories Ltd,8/26/11,135,40,113.83,,1.02,1.68,2.76,,1.85,132.8,104.15,161.5,116.55,-13.67
L&T Finance Holdings Limited,8/12/11,52,100,1245,,1.93,6.18,9.61,1.53,5.34,51,49.5,52.5,49.95,-3.94
Inventure Growth & Securities Ltd,8/4/11,117,50,81.9,,0.25,9.49,8.66,,4.58,119,91.55,225,207.95,77.74
Bharatiya Global Infomedia Ltd,7/28/11,82,75,55.1,,0,1.94,5.06,,2.06,84,27.15,84,30.95,-62.26
Readymade Steel India Ltd,7/13/11,108,60,34.75,,0.03,1.37,4.18,,1.68,115,62.3,117.75,66.45,-38.47
Rushil Decor Ltd,7/7/11,72,90,40.64,,0.23,1.35,6.57,,2.62,81.25,75,124.05,119.65,66.18
VMS Industries Ltd,6/14/11,40,160,25.75,,0,1.11,3.41,,1.36,43.95,24,49.25,28.5,-28.75
Power Finance Corporation Ltd,5/27/11,203,28,4578.2,,6.92,1.2,2,0.91,4.34,197.6,191.4,200.7,199.45,-1.75
Sanghvi Forging & Engineering Ltd,5/23/11,85,70,36.9,,0,1.82,2.93,,1.3,85,85,116.5,111.75,31.47
Muthoot Finance Ltd,5/6/11,175,40,901.25,,25.01,60.94,8.5,,24.55,180,161.5,198,176.25,0.71
PTC India Financial Services Ltd,3/30/11,28,250,438.76,,2.85,0.22,1.18,,1.7,28,23.5,28,24.9,-11.07
Lovable Lingeries Ltd,3/24/11,205,30,93.28,,21.87,99.87,20.84,,35.21,261.5,241.4,278.95,249.2,21.56
Fineotex Chemical Ltd,3/11/11,70,90,29.48,,0,0.22,4.38,,1.57,80,74.1,157.9,140.9,101.29
Omkar Speciality Chemicals Ltd,2/10/11,98,60,79.38,,0.82,5.27,9.9,,4.67,95,42.5,101,46.2,-52.86
Tata Steel Ltd,2/2/11,610,10,3477,,10.41,7.21,1.6,0.06,6.03,630.15,615.65,633.85,625.7,2.57
Shekhawati Poly-Yarn Ltd,1/12/11,30,200,36,,,,,,,32.5,30.7,69,47.5,58.33
Punjab & Sind Bank,12/30/10,120,50,470.82,,49.8,85.84,44.45,1.61,50.75,146.1,126.2,149.7,127.05,5.88
Ravi Kumar Distilleries Ltd,12/27/10,64,100,73.6,,0.15,7.31,3.01,,2.22,64,64,90.3,80.05,25.08
A2Z Maintenance & Engineering Services Ltd,12/23/10,400,15,675,,0.68,3.12,0.33,0.32,0.96,390,318.65,398.9,328.9,-17.78
Shipping Corporation of India Ltd,12/15/10,140,50,1164.73,,4.19,3.67,6.56,0.15,4.92,136.9,132.15,138,132.45,-5.39
MOIL Limited,12/15/10,375,17,1237.51,,49.16,143.3,32.86,0.57,56.43,551,458.5,591.05,466.5,24.4
RPP Infra Projects Ltd,12/6/10,75,80,48.75,,0.16,7.27,5.6,0.43,2.97,75,67.35,80.4,68.95,-8.07
Power Grid Corporation of India Ltd,11/25/10,90,65,7442.34,,18.52,28.86,3.85,1.11,14.88,95,94,97.2,96.6,7.33
Gravita India Ltd,11/16/10,125,50,45,,6.04,182.52,37.34,1.17,42.88,218.75,205,255,210.4,68.32
Coal India Limited,11/4/10,245,25,15199.44,,24.7,25.4,2.31,0.1,15.28,287.75,287.45,344.75,342.35,39.73
Gyscoal Alloys Ltd,10/27/10,71,90,54.67,,1.54,33.44,8,,8.59,76.6,76.6,112.7,81.55,14.86
Prestige Estates Projects Ltd,10/27/10,183,30,1200,,4.32,0.24,0.08,0.24,2.26,190,190,209,192.55,5.22
Oberoi Realty Ltd,10/20/10,260,20,1028.61,,22.15,3.61,0.94,,12.13,280,269.8,299,282.95,8.83
Commercial Engineers & Body Builders Co Ltd,10/18/10,127,55,153,,3.68,0.34,0.38,,2.07,122.8,106.3,144.8,112.25,-11.61
Sea TV Network Ltd,10/14/10,100,65,50.2,,1.66,40.94,7.45,,9.58,120,105.05,126.15,106,6
Ashoka Buildcon Ltd,10/14/10,324,21,225,,25.52,13.91,3.46,1.21,15.94,333.55,312.65,362.3,333.35,2.89
Bedmutha Industries Ltd,10/14/10,102,65,91.8,,0.67,29.19,8.51,,7.69,114.4,98,205,180.8,77.25
VA Tech Wabag Ltd,10/13/10,1310,5,125,,36.13,100.98,8.55,,36.22,1655,1651.1,1806.6,1709.4,30.49
Cantabil Retail India Ltd,10/12/10,135,50,105,,1.71,3.83,2.63,,2.35,133.8,102.1,133.8,104.75,-22.41
Gallantt Ispat Ltd,10/11/10,50,125,40.5,,,,,,,48.9,48.8,87.4,81.6,63.2
Orient Green Power Company Ltd,10/8/10,47,125,900,,2.09,0.64,0.18,,1.07,45.7,38.3,46.6,44.9,-4.47
Ramky Infrastructure Ltd,10/8/10,450,14,530,,4.52,1.45,0.99,,2.89,450,345.05,460,387.35,-13.92
Career Point Infosystems Ltd,10/6/10,310,20,115,,47.45,101.93,31.74,1.07,47.39,461,450,674,632.35,103.98
Eros International Media Ltd,10/6/10,175,40,350,,25.79,73.4,11.95,,26.51,213.35,178.6,217.7,190.05,8.6
Microsec Financial Services Ltd,10/5/10,118,52,147.5,,5.91,35.88,11.04,,12.2,135.1,108.3,141,110.9,-6.02
Tirupati Inks Ltd,10/1/10,43,150,51.5,,1.78,23.18,12.59,,8.77,53.95,35.7,61.45,36.65,-14.77
Indosolar Ltd,9/29/10,29,200,357,,1.44,1.3,1.81,,1.55,29.75,22.8,29.9,23.7,-18.28
Gujarat Pipavav Port Ltd (GPPL),9/9/10,46,130,500,,13.2,85.7,9.15,0.09,19.94,56.25,51.9,58.4,54.05,17.5
Prakash Steelage Ltd,8/25/10,110,60,68.75,,1.27,10.91,6.62,1.02,4.53,118.55,117,201.9,187.95,70.86
Bajaj Corp Limited,8/18/10,660,10,297,,20.19,53.49,6.62,,19.29,730,730,812,758.25,14.89
Engineers India Ltd,8/12/10,290,20,959.65,,23.43,5.85,2.99,0.57,13.36,315,315,329.8,321.15,10.74
Hindustan Media Ventures Ltd,7/21/10,166,40,270,,8.98,3.39,1,,5.43,170,170,191.9,189.2,13.98
Technofab Engineering Ltd,7/16/10,240,25,71.66,,4.28,48.85,10.03,1.1,12.78,265,265,307,295.65,23.19
Parabolic Drugs Limited,7/1/10,75,80,200,,1.48,1.2,0.4,0.11,1.04,76,63,79,64.8,-13.6
Standard Chartered PLC,6/11/10,104,200,2486.35,,4.15,1.9,0.25,0.2,2.2,105,100.6,108,103.05,-0.91
Jaypee Infratech Ltd,5/21/10,102,50,1650,,1.77,1.15,0.61,,1.24,93,90,98.5,91.3,-10.49
SJVN Ltd (Satluj Jal Vidyut Nigam Ltd),5/20/10,26,250,1062.74,,9.03,3.39,3.12,0.25,6.64,28,24.15,28,25.05,-3.65
Tarapur Transformers Limited,5/18/10,75,90,63.75,,0.03,5.08,2.74,,1.74,75,54.1,97.5,56.9,-24.13
Talwalkars Better value Fitness Ltd,5/10/10,128,50,77.44,,35.43,51.48,8.43,,28.39,138,132,167.7,162.6,27.03
Goenka Diamond & Jewels Ltd,4/16/10,135,40,126.51,,0.78,3,0.66,,1.07,130,92.35,141.35,127.85,-5.3
Intrasoft Technologies Limited,4/12/10,145,40,53.65,,21.97,21.6,13.51,,18.95,140,123.3,167.15,159.35,9.9
Persistent Systems Limited,4/6/10,310,20,168.01,,144.43,107.73,21.69,0.61,93.6,400,386,448,408,31.61
Pradip Overseas Limited,4/5/10,110,60,116.6,,8.57,45.35,10.53,0.09,14.08,120,102.3,123,107.15,-2.59
NMDC Limited,3/30/10,300,20,9930.45,,2.28,0.22,0.22,0.07,1.25,286,286,300.3,294.65,-1.78
IL&FS Transportation Networks Ltd,3/30/10,258,25,700,,52.61,39.39,4.56,,33.42,287,270.1,295,273.75,6.1
DQ Entertainment (International) Ltd,3/29/10,80,80,128.16,,93.86,272.88,19.45,0.36,86.33,135,106.55,140,108.55,35.69
United Bank of India,3/18/10,66,100,324.98,,47.08,39.15,9.8,0.53,33.38,77,68.1,77,68.8,4.24
NTPC Limited,3/18/10,201,28,8480.1,,2.18,0.43,0.16,0.44,1.2,200.65,200,203.8,203,1
Man Infraconstruction Ltd,3/11/10,252,22,141.75,,96.06,104.57,10.26,0.01,62.53,335,335,374.9,348.25,38.19
Texmo Pipes & Products Ltd,3/10/10,90,75,45,,1.02,30.5,7.26,0.31,7.48,101.5,101.5,140.7,137.25,52.5
Rural Electrification Corporation Ltd,3/8/10,203,30,3530.04,,5.52,2.05,0.23,0.85,3.14,230,225.05,244.3,241.85,19.14
ARSS Infrastructure Projects Ltd,3/3/10,450,15,103,,49.34,124.53,18.55,,47.62,640,640,754.7,736.3,63.62
Hathway Cable & Datacom Ltd,2/25/10,240,25,666,,1.43,4.29,0.28,,1.36,246,206.2,246,207.8,-13.42
D B Realty Limited,2/24/10,468,14,1500,,4.47,4.25,0.37,,2.95,430,412.5,466.2,455.4,-2.69
Emmbi Polyarns Limited,2/24/10,45,150,38.96,,0.43,5.55,0.46,0.01,1.2,45.5,26.5,48.35,28.65,-36.33
Thangamayil Jewellery Limited,2/19/10,75,80,28.76,,0.52,1.52,2.26,0.67,1.12,70,70,79,71.1,-5.2
Syncom Healthcare Limited,2/15/10,75,90,56.25,,0.99,16.6,6.25,,5.17,88,85.8,107.25,87.85,17.13
Vascon Engineers Limited,2/15/10,165,35,178.2,,1.12,3.65,0.62,0.54,1.22,170,144,173.45,147.2,-10.79
Jubilant Foodworks Ltd,2/8/10,145,40,328.72,,59.39,51.95,3.79,0,31.11,161.6,161.6,241.95,229,57.93
Birla Shloka Edutech Limited,1/29/10,50,120,24.78,,0,5.45,1.76,,1.43,49,46.15,51.4,50,0
MBL Infrastructures Ltd,1/11/10,180,35,102.6,,3.35,2.65,0.4,0.14,1.97,190,190,218,205.75,14.31
D B Corp Limited,1/6/10,212,30,384.22,,68.52,26.17,3.42,,39.54,250,235.5,274.6,265.9,25.42
Godrej Properties Limited,1/5/10,490,13,468.85,,7.45,0.41,0.38,,4,510,500,586.7,534.55,9.09
JSW Energy Limited,1/4/10,95,60,2700,,2.88,0.15,0.4,,1.68,102,99.9,106.4,100.75,6.05
Cox and Kings (India) Limited,12/11/09,330,20,610.39,,9.95,10.7,0.98,0.11,6.31,304.1,304.1,433.45,426.05,29.11
Astec LifeSciences Limited,11/25/09,82,75,61.5,,0.61,3,2.36,0.5,1.56,85.55,80,90.7,83.9,2.32
Den Networks Limited,11/24/09,195,30,364.46,,1,4.12,0.1,0.68,1.04,195,149.5,197,163.1,-16.36
Indiabulls Power Limited,10/30/09,45,150,1529.1,,40.49,5.76,1.09,,21.84,44.95,35,45.5,39.25,-12.78
Thinksoft Global Services Ltd,10/26/09,125,50,45.58,,0.31,6.05,4.31,,2.57,100,100,170,164.3,31.44
Euro Multivision Limited,10/15/09,75,90,66,,1.23,3.78,1.89,0.31,1.81,70,51.6,80.9,53.2,-29.07
Oil India Limited,9/30/09,1050,6,2777.25,,53.83,10.48,1.76,0.27,30.82,1019,1019,1156,1140.55,8.62
Globus Spirits Limited,9/23/09,100,70,75,,0.86,4.76,1.03,0.96,1.5,110,89.3,111.3,90.75,-9.25
Jindal Cotex Limited,9/22/09,75,90,84.38,,0.66,5.93,3.09,0.03,2.2,75,75,93.45,87.25,16.33
NHPC Limited,9/1/09,36,175,6038.55,,29.16,56.71,3.87,0.57,23.74,39,36.6,39.75,36.7,1.94
Adani Power Limited,8/20/09,100,65,3016.52,,39.48,8.62,2.97,0.11,21.64,105,98.5,107.9,100.05,0.05
Raj Oil Mills Limited,8/12/09,120,50,114,,0.75,3.98,0.77,,1.24,125.05,115.6,133.7,119.3,-0.58
Excel Infoways Limited,8/3/09,85,80,48.17,,0.49,5.31,2.64,,1.97,93.05,91.8,102.4,95.65,12.53
Mahindra Holidays and Resorts India Ltd,7/16/09,300,20,277.96,,12.83,11.01,3.36,,9.8,315,311.1,339.7,317.1,5.7
Alkali Metals Limited,11/6/08,103,65,26.27,,0.72,3.09,0.63,,1.04,90,90.5,179.3,173.15,68.11
20 Microns Limited,9/6/08,55,100,23.93,,0.9,1.98,10.59,1.18,4.29,50,31.5,96.25,33.3,-39.45
Birla Cotsyn (India) Limited,7/30/08,14,350,144.18,,0.01,5.75,0.92,0.04,1.11,14.7,8.55,17.5,9.2,-34.29
Somi Conveyor Beltings Limited,7/24/08,35,,21.8,,,,,,,37.65,24.7,37.65,25.9,-26
KSK Energy Ventures Ltd,7/14/08,240,25,830.66,,2.22,1.09,0.22,,1.5,220,176,234.8,190.5,-20.63
Lotus Eye Care Hospital Limited,7/11/08,38,150,38,,0.63,2.63,1.34,,1.18,35,32.05,38.95,35.5,-6.58
Archidply Industries Ltd,7/4/08,74,75,48.96,,0.2,2.36,3.04,,1.52,74.55,48.8,74.55,50.45,-31.82
Sejal Architectural Glass Ltd,7/1/08,115,60,105.73,,4.26,33.17,7.98,,9.9,110,77.55,139.8,81.5,-29.13
Bafna Pharmaceuticals Limited,6/27/08,40,,25.6,,,,,,,43.8,37.3,47.2,38.5,-3.75
Niraj Cement Structurals Ltd,6/19/08,190,30,61.75,,0,4.01,3.81,0,1.74,185,169.7,197.9,190.15,0.08
Gokul Refoils and Solvent Limited,6/4/08,195,35,139.59,,2.72,6.58,5.59,1.06,4.27,203.45,176.3,222.3,181.05,-7.15
Aishwarya Telecom Limited,5/7/08,35,200,14,,8.44,29.14,33.99,1.04,20,50.1,50.1,93,90.85,159.57
Kiri Dyes and Chemicals Limited,4/22/08,150,45,56.25,,0.79,1.36,2.38,,1.43,151,151,204,158.55,5.7
Titagarh Wagons Limited,4/21/08,540,10,128.72,,10.37,2.77,0.98,0.07,6.75,550,550,734.4,707.2,30.96
Sita Shree Food Products Ltd,4/7/08,30,200,31.5,,1.02,3.25,4.13,,2.44,30,30,46.65,43.9,46.33
Gammon Infrastructure Projects Ltd,4/3/08,167,35,276.39,,5.17,3.78,1.09,0.53,3.48,180,147.6,180,157.9,-5.45
V-Guard Industries Limited,3/13/08,82,80,65.6,,1.74,2.92,4.24,0.86,2.7,82.15,70.7,98.9,73.45,-10.43
Rural Electrification Corporation Ltd.,3/12/08,105,60,1639.26,,39.3,27.12,7.68,0.94,27.76,125,118.85,128.4,121.2,15.43
GSS America Infotech Ltd,3/7/08,400,15,139.9,,1.06,3.5,0.2,0.02,1.08,400,400,508.35,500.65,25.16
IRB Infrastructure Developers Ltd,2/25/08,185,30,944.57,,6.42,1.56,0.99,0.94,4.3,170.05,167.3,209,189.05,2.19
Shriram EPC Limited,2/20/08,300,20,150,,6.13,0.41,0.63,,3.91,290,281.05,374.7,293.6,-2.13
Bang Overseas Limited,2/20/08,207,30,72.45,,1.14,1.81,1.17,1.01,1.24,207,166.5,260,171.8,-17
OnMobile Global Limited,2/19/08,440,15,479.62,,17.16,2.63,1.31,,10.95,440,421,579.9,521.9,18.61
KNR Constructions Limited,2/18/08,180,35,133.87,,1.38,3.21,0.28,0.61,1.25,180,151.15,199,154.35,-14.25
Cords Cable Industries Limited,2/13/08,135,50,41.65,,6.83,5.11,2.58,1.01,4.99,130,113,151,138.3,2.44
J Kumar Infraprojects Limited,2/12/08,110,55,71.5,,2.8,1.4,1.69,1.11,2.17,100,84.2,116.95,102.7,-6.64
Reliance Power Limited,2/11/08,450,15,11563.2,,82.62,190.02,14.87,,73.04,547.8,355.05,599.9,372.5,-17.22
Porwal Auto Components Limited,1/14/08,75,80,37.5,,0.21,0.48,2.44,,1.03,79.85,76,120,79.65,6.2
Aries Agro Limited,1/11/08,130,50,58.5,,8.16,8.51,6.46,,7.62,150,150,261,251.6,93.54
Burnpur Cement Limited,1/3/08,12,500,26.28,,,,,,,18.45,17.8,49,46.35,286.25
BGR Energy Systems Limited,1/3/08,480,14,438.53,,161.67,153.08,46.89,1.46,119.54,801,801,940,901.3,87.77
Brigade Enterprises Limited,12/31/07,390,16,648.36,,18.29,4.89,5.59,1.46,13.07,399.7,365.8,409.4,378.55,-2.94
eClerx Services Limited,12/31/07,315,20,101,,31.59,36.36,12.38,,26.3,320,320,466.8,448.3,42.32
Transformers and Rectifiers India Ltd,12/28/07,465,15,139.27,,110.53,121.7,58.61,1,91.31,701.1,685.2,813.75,728,56.56
Jyothi Laboratories Limited,12/19/07,690,10,305.69,,66.41,49.9,14.67,,45.83,799,752.6,880,793.7,15.03
Kaushalya Infrastructure Dev Corp Ltd,12/14/07,60,100,51,,2.84,17.27,10.15,1,7.2,67.9,63.6,84.2,82.25,37.08
Kolte-Patil Developers Limited,12/13/07,145,40,275.51,,60.97,68.81,16.58,3.15,46.18,220,175,223.9,181.45,25.14
Renaissance Jewellery Limited,12/12/07,150,45,79.86,,23.13,55.93,10.51,,23.63,190,163,200,164.8,9.87
Edelweiss Capital Limited,12/12/07,825,8,691.86,,153.15,164.3,17.22,10.18,110.96,1443.75,1443.75,1608.75,1509.95,83.02
Mundra Port and Special Economic Zone Ltd,11/27/07,440,15,1771,,159.6,156.45,16.19,2.35,115.84,770,770,1150,961.7,118.57
Empee Distilleries Limited,11/26/07,400,15,192,,8.77,2.31,6.11,,6.87,400,301,489,317.9,-20.53
Rathi Bars Ltd,11/23/07,35,,25,,,,,,,38,31,45,31.9,-8.86
Allied Computers International (Asia) Ltd,11/23/07,12,,6,,,,,,,21,21,41.25,37.7,214.17
Religare Enterprises Limited,11/21/07,185,35,140.16,,184.95,215.45,93.5,,160.56,323.75,323.75,600,521.7,182
Maytas Infra Limited,10/25/07,370,18,327.45,,99.41,35.84,15.42,,67.86,480,480,637.7,614.3,66.03
Supreme Infrastructure India Ltd,10/18/07,108,60,37.53,,52.11,65.43,48.23,,52.75,189,167.15,224,175.25,62.27
Consolidated Construction Consortium Ltd,10/15/07,510,12,188.7,,117.68,67.62,12.69,,81.18,801,736.2,825.25,791.45,55.19
Power Grid Corporation of India Ltd.,10/5/07,52,125,2984.45,,115.9,40.34,6.77,2.66,64.82,85,85,109.4,100.65,93.56
Kaveri Seed Company Limited,10/4/07,170,40,68,,5.59,5.05,3.26,1,4,201.15,201.15,262,230.1,35.35
Magnum Ventures Limited,9/20/07,30,200,52.92,,2.34,3.92,3.39,,2.95,36.95,36.95,66.7,48.7,62.33
Indowind Energy Limited,9/14/07,65,100,81.25,,0.9,0.85,1.12,1.05,0.97,80.25,55.1,124.5,114.05,75.46
Motilal Oswal Financial Services Ltd,9/11/07,825,8,246.07,,43.9,10.26,4.44,1.75,27.41,999,913,999,977.45,18.48
Puravankara Projects Limited,8/30/07,400,10,858.7,,2.69,0.99,0.64,,1.91,399,357.55,399,361.75,-9.56
K.P.R. Mill Limited,8/28/07,225,25,133.02,,1.44,2.08,0.39,,1.19,201.2,169.1,209.8,173.5,-22.89
TAKE Solutions Limited,8/27/07,730,9,153.3,,75.62,100.1,23.39,1.05,59.48,876,839.15,943.3,926.5,26.92
Asian Granito India Ltd,8/23/07,97,60,67.9,,3.1,10.01,4.66,1.38,4.51,100.15,82.1,103.35,94.75,-2.32
Central Bank of India,8/21/07,102,60,816,,89.12,69.58,16.2,0.96,62,130.1,114,133.25,115.4,13.14
SEL Manufacturing Company Ltd,8/21/07,90,75,37.25,,4.1,3.12,3.55,0.99,3.62,87.9,80,157.5,142.8,58.67
Refex Refrigerants Limited,8/20/07,65,,24.7,,,,,,,69.1,61.05,73.8,62,-4.62
Omaxe Limited,8/9/07,310,20,551.69,,95.32,81.16,13.89,1.14,68.34,400,341.5,410,349.95,12.89
Alpa Laboratories Limited,8/6/07,68,100,64.6,,0.18,1.99,2.14,0.01,1.11,60,54,65,55.6,-18.24
Allied Digital Services Limited,7/25/07,190,35,85.93,,74.04,88.69,38.08,0.82,60.87,332.5,309.5,370.5,331.8,74.63
Housing Development and Infrastructure Ltd,7/24/07,500,14,1485,,10.13,1.78,1.59,0.04,6.6,567.5,473.5,617.5,558.6,11.72
Suryachakra Power Corporation Ltd,7/23/07,20,300,68,,1.88,1.33,3.02,1,2.18,30,21,30,22.35,11.75
Celestial Labs Limited,7/17/07,60,90,30,,,,,,,70,66.15,75,67.2,12
BEML LTD (Bharat Earth Movers Ltd),7/17/07,1075,5,526.75,,63.34,8.47,3.19,0.01,30.65,1199,1171.05,1230.05,1196.6,11.31
Ankit Metal & Power Ltd,7/10/07,36,190,42.84,,0.72,3.8,2.43,0.18,1.58,37.9,36.5,38.4,36.95,2.64
Roman Tarmat Limited,7/9/07,175,40,50.75,,27.49,62.14,21.82,0.75,29.67,295,295,376.25,319.85,82.77
ICICI Bank Limited,7/6/07,890,6,8750,,21.62,6.15,1.03,,11.5,995,962,995,981.55,10.29
DLF Limited,7/5/07,525,10,9187.5,,5.13,1.14,0.98,0.79,3.47,582,505.6,714.25,570.05,8.58
Vishal Retail Ltd,7/4/07,270,25,110,,45.55,311.57,50.4,1.34,69.08,472.5,423.25,809,752.2,178.59
Meghmani Organics Limited,6/28/07,19,350,102,,19.43,44.75,26.01,,23.94,33.25,26.15,34,26.65,40.26
Nelcast Limited,6/27/07,219,30,95.27,,11.22,0.93,4.59,,7.36,252.05,203.1,284.7,206.25,-5.82
Time Technoplast Limited,6/13/07,315,20,123.53,,69.88,72.17,12.97,0.75,49.55,415.55,415.55,498,480.35,52.49
Nitin Fire Protection Industries Ltd,6/5/07,190,35,64.41,,49.91,101.32,30.29,1.11,48.48,332.5,332.5,502.7,484.1,154.79
Asahi Songwon Colors Ltd,6/4/07,90,60,33.5,,3.22,0.39,0.52,,1.85,93,87.65,134.7,89.95,-0.06
Insecticides India Ltd,5/30/07,115,60,36.92,,0.32,1.62,4.49,1.21,1.97,105,101.15,117,109.5,-4.78
MIC Electronics Limited,5/30/07,150,45,76.5,,47.49,106.34,31.11,,50.59,210.25,210.25,367.8,335.65,123.77
Hilton Metal Forging Ltd,5/24/07,70,175,38.15,,,,,,,75,66,80,67.6,-3.43
